,title,plot
10,Aaraattu (2022 film),"In Muthalakotta, a village in Palakkad, people are financially recovering from the 2018 floods through gaining self-sufficiency via numerous farming ventures. Four youngsters and an elderly person arrive at the village during the flood and help them. Following the flood, the group decides to stay back in the village. They take over majority of the farming from the villagers and start an ashram for yoga and spiritual practices. With the new state government mandate of turning any empty and unused land into farming land, the villagers, along with the RDO officer Anjali, beseech the wealthiest man in the village, Edathala Mathai, to give his 18-acre land to the government. 
To avoid losing the plot and to start a township by changing the land category, he decides to lease his property to the slick Neyyattinkara Gopan, who plans to level the land under the guise of fish farming. However, Gopan is revealed to be actually siding with the villagers. He helps the villagers in farming which angers Mathai, and is involved in helping villagers solving their problems. Mathai sends goons to thrash Gopan, but he thrashes them. Gopan exposes Mathai's involvement in money laundering, hawala scams. Mathai's sons questions Sathyasheelan, who introduced them to Gopan and reveals that Gopan's real name is Col. Suryachandra Lal, who had lost his parents when they were killed in a train journey by Muthalakotta Battalion (4 youngsters and Guruji), who are involved in many crimes. 
The Muthalakotta Battalion arrived at Muthalakotta with a fake identity in order to save themselves. After the revelation, The youngsters kill Sathyasheelan. Gopan conducts a show with A. R. Rahman as the chief guest, where he defeats the group and gets them arrested by the NIA. The youngsters and Guruji are killed in a shootout conducted by the NIA. Soon, a cop reveals that Gopan is not Col. Suryachandra Lal and that the actual Suryachandra Lal is in army hospital undergoing treatment for depression. Gopan is then revealed to be a secret agent codenamed Agent X who works for the Central Government and participates in many secret missions with many different identities."
11,Aaradugula Bullet,"Shiva (Gopichand) is a careless young man who is dependent on his father, Murthy (Prakash Raj) for all his expenses. He got fired from his job in Maharashtra because of a rift he created with the local goon on creating a bridge project. When his boss asked to apologize to the local goon Shiva retaliates stating he would never bow down in front of the wrong person. This angers the manager and fires Shiva. Later Shiva reveals that he had created a scene to get fired from the job as he is missing his family. Murthy feels angry upon hearing the news that Shiva had been dismissed from the job where with great difficulty he had Shiva recommended. Shiva's unemployment and careless nature always become an issue between the father and son.
Due to Murthy's transfer, the family moves from Vijayawada. Shiva's grandmother warns Shiva to be careful in the city as it is ruled by the local Don Kasi (Abhimanyu Singh). Shiva learns from his friend that Kasi has a huge ego problem and had once broken the leg of a minister who didn't come to the opening of his mall after saying he would attend and forcing him to come in a wheelchair to open the mall just to satisfy his ego.
At a wedding event, Shiva sees Nayana (Nayanthara) and falls in love with her.  Upon learning that Nayana's boss makes her work day and night and takes all the credit for himself he goes to a bar and slaps Nayana's boss. Shiva portrays himself as Nayana's boyfriend which as result causes Nayana to be fired from the company. Shiva meets the depressed Nayana and tells her that life is beautiful to enjoy. Feeling confident with Shiva's words Nayana goes to her boss's house and shouts him out in front of his house about all his affairs. Nayana's boss reveals that Shiva is the cause of her unemployment.
Upon questioning Shiva, he admits that he did this to make Nayana spend time with him and to make her fall in love. Nayana in return tells Shiva to bear all her expenses until her job comes back.
In the meanwhile, Kasi comes to Murthy and asks him to give his house off. When Murthy rejects the latter, Kasi gives Murthy 30 days to change his decision otherwise he would have to suffer consequences. Here Shiva brings crackers to all Nayana's apartment kids on her command but hears that city is not celebrating Diwali until the court hearing as per Kasi's command because Kasi's brother was arrested. Shiva doesn't bother Kasi's command and asks the children to light the crackers. Seeing this Kasi's goons comes to beat them up but Shiva tactfully shouts that Kasi's brother is released hence everyone can celebrate Diwali. Hearing this the goons go back. Nayana gets impressed with Shiva and falls in love with him.
Murthy sees Shiva and Nayana together one day and advises Nayana that Shiva is not fit for marriage as he doesn't know the responsibility and to leave him. Nayana expresses anger toward Murthy later to Shiva and asks him to come out of the house. This angers Shiva and leaves Nayana stating that his family is everything to him and he cannot bear his father being insulted by anyone.
Shiva asks his grandmother to give him her property so he can start his construction company which is his dream. In a brawl, Shiva's grandmother is hurt which angers Murthy and throws him out of the house. The next moment Kasi comes to Murthy's house and hits him for not giving him the house. Shiva sees his father being beaten up by Kasi, in anger Shiva fights with Kasi and hits him badly in front of everyone.
The next day everyone feels proud of Shiva for standing up against Kasi and praises Murthy for having such a strong son. Being elated that his son is bringing respect to him Murthy patches up with his son and starts loving him. He even advises him to patch up with Nayana as she was the only one who believed in Shiva when no one did.
Kasi's brother comes to warn Murthy but Shiva beats him too and asks Kasi to back down. Nayana and Shiva get engaged. Kasi attacks Shiva's family but Shiva reaches on time to save everyone and injures one goon in the process that he gets admitted to hospital. Police inform Shiva that if the person dies Shiva will go to jail.
Murthy in fear about his son's future goes to Kasi and gives him his house's documents and asks his family to be left alone. But Kasi puts a condition that Shiva has to apologize to Kasi in front of everyone as he was insulted earlier by Shiva. Murthy convinces Shiva to apologize to Kasi and Shiva unable to say no to his father goes and tells him sorry to Kasi and all his goons.
Thinking Kasi will leave them alone Murthy feels relaxed and moves on.  But Kasi visits the hospital and kills the goon who was hurt by Shiva so that Shiva will land in jail. Upon hearing the news Shiva breaks down all the ties and goes after Kasi. The goon's wife admits in front of everyone that Kasi had killed her husband in the hospital whereas Murthy was looking after them.  Upon hearing this all the goons leave Kasi and his brother.
To get saved from Shiva, Kasi goes to Murthy and asks him to stop his son.  Murthy says he won't , because if he stopped his son now he will fail as a father forever and throws Kasi out.  Both Kasi and his brother get defeated by Shiva. People in the city learn to stand up against the goons.
The movie ends with Shiva celebrating Diwali with Nayana and his family in their ancestral home."
12,Aarvam,"Anjali, the sister of the dreaded gangster Aadhi, leaves the city and returns to her hometown after finishing her studies. The young man Mahesh (R. Zanjay), the son of a revenue inspector, falls at first sight with Anjali during the village's festival. Mahesh then proposes his love to her but she refuses to love someone she doesn't yet know. Mahesh then starts to hang out with Anjali and she eventually falls in love with him. The villagers including Mahesh are feared of Aadhi, so Mahesh prepared a master plan: he lies to the innocent Sathya (Satya) that Anjali is in love with him. The village milkman Sathya who is from a poor background lives with widowed mother, little sister and uncle. Thereafter, Sathya falls in love with Anjali and changes his look to please Anjali.
When Aadhi learns about his sister's love affair, he sends his henchmen to beat up Sathya but Sathya surprisingly overcomes them. Later, Aadhi kills the brother of his archenemy Pandi and convinces him that the killer was no other than the innocent Sathya. A vengeful Pandi and his henchmen go to Sathya's house and beat up his family, Sathya defeats them. Aadhi then makes everything to portray Sathya as rowdy so his sister will avoid him. Afterwards, Anjali tells Sathya that she doesn't love him but she is in love with Mahesh. The heartbroken Sathya genuinely accepts his fate and he is disgusted by Mahesh's cheap mindset.
In reality, Mahesh wants to marry Anjali to get rich. Aadhi finally accepts for the marriage between Mahesh and his sister. However, Anjali finds out that Mahesh is a bad person thus the wedding is cancelled. In the meantime, Pandi and his henchmen beat the harmless Sathya to death. The film ends with Anjali mourning the death of Sathya.
The film depicts that true love is such a powerful force. It's there for everyone to embrace-that kind of unconditional love for all of humankind. That is the kind of love that impels people to go into the community and try to change conditions for others, to take risks for what they believe in."
13,Aatagadu,"Gopi is a famous pop singer who performs in the Jolly club and all the young girls of the city are mad about him. The club owner Jagannatham (Mikkilineni) takes care of Gopi as his son. Once, Gopi gets acquainted with a petty thief, Vijaya, who kicks Gopi and runs away. Another time, Vijaya steals Gopi's car, but she is caught by him. She says that she is doing these robberies to feed her brother who suffers from polio. Gopi gives assurance to him that he will help her, gets her a job and both of them fall in love. In the same city, there are three traitors Sangeetha Rao, Gopal Rao and Papa Rao who do illegal business. Sangeetha Rao is a smuggler, Papa Rao does woman trafficking and Gopal Rao does liquor business. All clubs in the city have to follow their instructions, or they will ruin them. But they could not succeed to spoil the Jolly club because of Gopi and they develop an enmity against him. Meanwhile, Gopi introduces Vijaya to his mother Parvathi, and sister Padma and Vijaya learn that Gopi's father left them in his childhood. Vijaya has a past, her parents were brutally killed by one Aggi Ramudu, on whom she wants to take revenge, but he is presently in jail. Here, Vijaya wants to utilize Gopi in breaking Aggi Ramudu out of jail. So she plots a plan, she makes Gopi believe that Aggi Ramudu knows the whereabouts of his father; if they could bring him out, he can find his father. So, Gopi plans and succeeds in his attempt. After reaching home, Vijaya tries to kill Aggi Ramudu, but Gopi stops her. Surprisingly, Aggi Ramudu turns out to be Gopi's father, Parvathi recognizes him when Gopi questions them, then Aggi Ramudu starts revealing the past. He used to work as Manager Ramaiah, at the home of a millionaire, Dharma Rao, Ramaiah is most loyal and efficient towards him. In a contract, his three partners, none other than Sangeetha Rao, Gopal Rao, and Papa Rao commit a huge fraud, which was caught by Ramaiah. So, they kill Dharma Rao and blamed Ramaiah, for which he is sentenced. They also steal a golden idol of Lord Venkateswara, which came from the ancestors of Dharma Rao. Eventually, Vijaya turns out to be Dharma Rao's daughter, who mistakes Ramaiah as the murderer, that's why she wants to kill him. Meanwhile, the traitors place a bomb and demolish the club in which Jaganadham dies. Gopi takes an oath that he will see the end of the people who killed his foster father. Gopi turns as Aggi Ramudu changes his attire, in various forms of disguise, he sees the end of his enemies and protects the idol. Finally, the movie ends on a happy note with the marriage of Gopi and Vijaya."
14,Aayudham (2005 film),"Siva is admitted to a medical college in Chennai. His police constable father, gets a transfer to Chennai, as well, so that he can keep an eye on his son. Siva soon develops a liking towards Mahalakshmi, his collegemate. However, Naga, Maha's servant-maid's son and the dreaded don of Chennai city, is obsessed with making Maha his own. It is now upto Siva to rescue Maha and her family from Naga's clutches."
15,Ab Insaf Hoga,"Janki (Rekha) lives a poor lifestyle in a small village consisting of her dad, Bhervi Prasad and her mom. She meets and falls in love with her school-teacher, Ramcharan, and both want to get married. Ramcharan's brother is opposed to this marriage as Bhervi is unable to pay any dowry, but the couple are turned out of Kalicharan (Raza Murad)'s house, and instead go to live with Ramcharan's friend, Ashok Mishra. Ashok attempts to molest Janki, and a fight breaks out between Ramsharan and Ashok, and they move back to Janki's village where she finds that her parents have killed themselves. They decide to live in the village where Janki gives birth to a baby, Khusboo. Ramcharan is then assaulted by Ashok and receives a head injury that leaves him paralyzed. Janki takes him to Bombay, finds a job as a laborer, and takes Ramcharan to see a doctor, it will cost her a lot of money. She approaches her employer, Girdharilal (Prem Chopra), who is willing to pay the entire cost of her husband's treatment provided she sleeps with him, when she refuses, she does not get any money and is instead molested. Ramcharan does recover a little, and goes to confront Girdharilal, but gets killed. The police refuse to register any complaint against Girdharilal. Alone, traumatized, and devastated Janki and Khusboo wander aimlessly. She gets into an accident with a car that belongs to Gaurishankar (Mithun Chakraborty), a local gangster with a good heart, who wants to be a Municipal Councillor. With Janki's help he does become a Councillor and both entrap Girdharilal, and then subsequently Ashok and Kalicharan, get them arrested on a variety of criminal charges and jailed. What Janki and Gaurishankar do not know is that the trio have gotten together in prison and have planned a devious scheme that will ensure that Janki gets killed - without implicating any one of them."
16,Adda (2013 film),"Abhi (Sushanth) is a young man who provides a unique service - that of creating rifts between couples. He provides this service mostly to the couples’ parents. He builds crevices between lovebirds who plan to marry against the wishes of their parents and gets paid big bucks for his services. But when he wants to, he also helps those in love and even helps them get married.
The marriage registration office is his Adda or office and he operates from there. Into this playboy's life enters Priya (Shanvi), and she seeks the help of Abhi to separate her sister and her boyfriend because her father Patel (Nagineedu) does not approve of their relationship and will go to any lengths to punish them. So she decides to break them up using Abhi's services.
In the process of a breakup, Abhi falls in love with Priya. However, Priya keeps off Abhi as he is too money-minded. She feels Abhi is a guy without feelings and morals. Also, she is engaged to be married to her cousin, Deva  (Dev Gill). The rest of the film shows how Abhi chases her and gets her to fall for him."
17,Adhikari (film),"Duraipandi (C. Arunpandian) escapes from jail to take revenge on the gold smuggler Varadappan (Sethu Vinayagam). Varadappan tried many ways to kill Duraipandi in jail, but his henchmen failed each time. Pursued by the police, the fugitive Duraipandi lands in a remote village where a woman named Ponni (Gautami) helps him hide. There, he meets his former colleague Anbu (Choudary), surprised by Duraipandi, Anbu runs away and dies by getting hit by a car. Anbu is none other than Ponni's brother. After the funeral, Duraipandi tells Ponni the reason of his desire for revenge on Varadappan.
In the past, Duraipandi was a sincere and fearless custom officer. He lived happily with his mother (Srividya) and his sister Seetha (Anju). One day, Duraipandi seized a cargo full of illegal gold bars belonging to Varadappan. In the meantime, Seetha got engaged with the police inspector Sarath (Anand). Everything went well until Varadappan planned to send Duraipandi behind bars. Under the orders of Varadappan, Duraipandi's co-workers Mary (Abhilasha), Rocky (Rocky), Raghu (Rajesh Kumar), and Anbu betrayed Duraipandi, and Duraipandi was sent to jail by Sarath for trying to rape Mary. Seetha's wedding was cancelled; thus Seetha committed suicide and Duraipandi's mother became mentally ill.
Duraipandi knows that Mary was killed by Varadappan and the only information he had was Anbu's location. Duraipandi and Ponni fall in love with each other and start to live together. Later, Rocky is blackmailed by Varadappan, so Rocky tries to murder Duraipandi. During the fight, however, Rocky accidentally falls off a mountain cliff and dies. Duraipandi decides to take care of Rocky's baby son. Afterwards, Raghu gets killed by Varadappan's henchmen.
Duraipandi is still in pursuit of Varadappan to kill him, whereas the police want to capture the fugitive Duraipandi. What transpires later forms the crux of the story."
18,Agaram (film),"Thiru (Nandha) is a young Airtel employee who has just moved into the family's new house in Tuticorin with his sister (Varshini), mother (Seetha), and grandmother (Sukumari). Their happiness is tinged with the grief of Thiru's father's (Agathiyan) recent death, before the construction could be completed. Fate decrees that the entire family be placed in jeopardy when Thiru has an argument with Pasupathy, the brother of the dreaded don of the waterfront mafia, Varma (Biju Menon), during the local elections. Varma swears to kill Thiru, agreeing to spare his life for just four days until the election ends, at the request of his politician crony (Ilavarasu), who is all set to become the MLA. The family flees but is captured and brought back to face the atrocities unleashed by Varma's goons."
19,Aggi Ravva,"Ramu is young and energetic and the only son of I. G. Raja Shekaram, whose aim is to see his son as a police officer. But his timid mother Meenakshi disagrees. Meanwhile, Ramu falls in love with a beautiful girl Vani. Here Ramu makes a plan as if he is working in Vani's company and the name of the promotion, he leaves for the police training. Apart from this, in a town called Nagarajapuram, three traitors make a lot of atrocities, Narasimham, Bhairavaiah, and Menaka, who behave like respectable citizens in society. These people perpetrate many activities such as smuggling, gambling, prostitution, woman trafficking, etc. Here no one dares to question them and any police officer who protests will be killed. I. G. Raja Shekaram assigns the case to his nephew Inspector Suryam but they trap him also in their custody by kidnapping his sister Radha. Now Raja Shekaram himself camps in the area when the traitors attack him and in the shootout, he loses a limb. At the same time, Ramu successfully comes back from the police training. But seeing his father's condition, a volcano bursts in his heart. At present, Ramu wants to take revenge against those criminals, he requests govt and makes his appointment at Nagarajapuram. By taking his father's blessings Ramu reaches Najarajapuram and before leaving he tells his father not to reveal this secret to his mother. Immediately, stepping he gives a direct warning to the traitors. After that, he catches them red-handed and presents them in court, but they successfully escape the sentence. On that night they capture Ramu, torture him badly, and throw him on the road. They keep their danger flag as a symbol, that's why no one comes forward for his rescue. Fortunately, Vani passes from that way spot and takes him to the hospital. After recovery, Ramu crushes them all when they put a case on him. In the court where he shows the evil deed that happened to him by which the court decides him innocent. Here Ramu understands that anger is not only the source to catch criminals it should also require a proper wit. So, he changes his attire along with Vani, and in various forms of disguise, he collects the pieces of evidence against them. Narasimham learns of this when he kidnaps Raja Shekaram and also kills his wife Meenakshi. Seeing his mother's dead body, Ramu destroys their empire and gets them arrested. Finally, the movie ends on a happy note with the marriage of Ramu and Vani."
20,Agni IPS,"Agni (Saikumar) is an honest and short-tempered police officer who clashes with a dangerous gangster called Kotwal (Satya Prakash), while clearing a riot created by him on the streets, Agni loses his friend Baasha Khan (Rockline Venkatesh). Agni marries Ranjitha after being stalked and troubled by her. The three students Raghupathi, Raghava, and Rajaram, who are responsible for ruining the college, are arrested by Agni.
Kotwal and a corrupt politician (Sudheer) create a lot of troubles in which Baasha Khan's mother gets killed, and Ranjitha suffers a miscarriage, which leads to divorcing Agni by blaming him for the mess. In the end, Ranjitha and the lawyer (Saroja Devi) gets kidnapped, Agni saves them and kills Kotwal."
21,Agniputra,"The story begins with Arjun working in a band with his family, consisting of three sisters and his widowed mother. Arjun falls in love with the daughter of an MLA, who was involved with his family. The police make a false accusation against Arjun and his sisters and accuse them of being sex workers. It turns out that the MLA is behind the case. His sisters end up being sexually assaulted by the MLA, and two of them end up committing suicide. Arjun decides to seek vengeance against the goons. and with some toil and foil he eventually outsmarts them."
22,Ajay (2006 film),"Ajay Varma is a Bengaluru-based Kabbadi player, the son of Kumaraswamy who is the DCP of Bengaluru, visits Hubli to take part in a state-level tournament. There, he saves Padma(Paddu) from Vijay Reddy, a dangerous faction leader, who is in love with Paddu and wants to marry her against her wishes. Ajay learns that Paddu is trying to leave for the United States for pursuing higher education after Vijay killed her brothers, when they refuse to marry their sister to Vijay Reddy. In the process of saving Paddu, Ajay humiliates Vijay by pushing him into a mud pond. Vijay refuses to cleanse the mud until Paddu is found and brought back. Ajay helps Paddu escape and takes her to his house in the Old City of Hyderabad, hiding her in his room with the help of his sister, Asha.
Soon, his parents find out she is hiding in their house. Paddu and Ajay run away again and eventually she falls in love with him. The next day, the police, led by Ajay's father DCP Kumaraswamy, surround the Charminar where Paddu is hidden by Ajay. The duo, along with Ajay's friends, reaches the airport to go to the United States. They bring her parents to see her one last time before she leaves. After Paddu passed airport security, Ajay realises he loves Paddu. She shows up and hugs him while proposing to him.
At the airport, Kumaraswamy arrests Ajay while Vijay's men take Paddu away. After Paddu taunts him by saying that Ajay will definitely come for her, Vijay goes to the jail and asks Ajay to come with him. Here, Kumaraswamy expresses that he's not worried about Ajay; rather, he's worried for Vijay. Vijay and his henchmen are kidnapped by Ajay, who, along with his friends, attend the finals of the national-level Kabaddi tournament.
Meanwhile, Vijay's brother Siva Reddy, who happens to be the home minister of the state, is waiting at the venue of Vijay's marriage with Paddu. After coming to know about his whereabouts, Siva reaches the stadium along with Paddu and his mother where Ajay and Vijay are fighting with each other. Swapna's father stabs Vijay while his mother dies in a bomb blast. Siva decides not to react as it would harm his position as a minister and Ajay, whose team won the match, celebrates the victory with Paddu and his family. Ajay and Paddu are married together."
23,Ajay (1996 film),"Raja Brijraj Singh and his younger brother Raja Ranbir Singh lives in a spacious palace and are wealthy landlords of a small Indian town named as Kishengarh. They would like there only, head-strong and foreign returned niece Manorama (Karisma Kapoor) to marry equally wealthy Roopesh Singh but she gives her heart to a poor poultry dealer named Ajay (Sunny Deol). When Brijraj and Ranbir learn of this relationship they put a strong objection to this and will do anything in their power even kill to prevent their niece from getting marry to Ajay."
